name,rank,overallScore,teachingScore,internationalOutlook,industryIncome,research,citations,textBelow
University of Crete ,276-300,,13.1,42.6,33.2,12.6,66.7,"The University of Crete was established in 1973 and consists of five faculties and 17 departments. It has around 16,500 registered students and 700 teaching and research staff based at 3 campuses."
Autonomous University of Madrid ,276-300,,28.8,39.7,32.5,21.4,47.5,"Home to 29,000 students, the university has two campuses: the main campus is on the outskirts of the city and includes the faculties of philosophy and arts, economics, psychology, law, science, computer and telecommunications engineering, and teacher-training and education. Its medical school is in the city of Madrid, next to the university hospital."
Technische Universität Darmstadt ,276-300,,28.0,71.0,45.1,15.5,39.2,"Founded in 1877, Darmstadt is devoted to the study of technology, engineering, the natural sciences, the humanities and social sciences. It has about 270 professors and 23,000 students."
University of Guelph ,276-300,,24.2,33.3,48.9,31.4,38.6,"With its own police force, ""the U of G"" resides in a city voted Canada's safest. Its unified campus occupies 1,071 acres, two-fifths of which are taken up by an arboretum. The university's 850-plus faculty serve around 18,500 undergraduates in 94 courses, about 2,400 postgraduates in 48 graduate courses and offer six associate-degree programmes."
Hokkaido University ,276-300,,44.5,18.8,38.7,34.3,21.6,"Hokkaido began life as the Sapporo Agricultural College in 1876. Becoming part of the imperial universities of Tokyo, then Hokkaido, it gained its present name in 1947. It has 18 faculties and 11 research institutes and centres, including fisheries sciences at Hakodate, an academic staff of more than 2,000 scholars and around 18,200 students."
Aberystwyth University ,276-300,,19.8,63.8,35.5,15.5,56.6,"Aberystwyth University has around 10,000 students, including 2,000 postgraduates, across 17 academic departments. It employs more than 2,000 people and has an annual turnover of 120 million. It was founded in 1872. In 1939, E.H. Carr, then professor of international politics at Aberystwyth, published his famous The Twenty Years Crisis, a seminal text on international politics."
University of Iceland ,276-300,,10.7,56.9,75.4,17.3,62.4,"The University of Iceland is a scientific institution well regarded for its research. It is a state university, situated in the heart of Reykjav. It offers more than 350 study programmes and has more than 350,000 alumni and 550 partnerships with other universities. It was founded in 1911."
Hong Kong Baptist University ,276-300,,20.0,58.9,25.3,11.2,59.7,"Founded in 1956, Hong Kong Baptist University is a publicly funded institution that has gained a reputation for the provision of wholeperson education delivered by an international team of scholars in a caring and supportive environment. Its main campus is located in a transport hub enabling its students to immerse themselves in cosmopolitan Hong Kong life while gaining an all-round education that nurtures the abilities and attitudes required to be creative and capableleaders.,At present, HKBU has enrolled over 10,000 students and offers a wide range of undergraduate programmes, taught postgraduate programmes, and research programmes leading to the award of MPhil and PhD degrees.The University has ninefaculties/schools/academy:,Situated in the heart of the city,the University stretches across five campusesthat offer an inspiring teaching, research and learning environment.The University has state-of-the-art facilities, well-equipped laboratories and research infrastructure, and learning commons that offer students a dynamic study environment.HKBU’s world-class libraries include the seven-floor main library, the Dr Stephen Riady Chinese Medicine Library and the European Documentation Centre. The University also provides well-rounded sports facilities that encompass two multipurpose gymnasiums, a swimming pool, a full-size outdoor athletics stadium and soccer pitch, tennis and squash courts, and a multipurpose sports hall for ball and racket games.,HKBU has created an internationalised campus environment.  Its academic staff members come from over 25 countries and regions, and pioneering programmes such as the Pulitzer Prize Winners Workshop, the International Writers Workshop, the Consul-General-in-Residence Programme and the European Union Academic Programme, bring distinguished experts from around the world to the University, adding to the globalised campus experience. ,HKBU is committed to building a sustainable low-carbon campus and fostering an environmentally conscious culture within the University community.,Studying in Hong Kong offers a unique window into China and a gateway to other Asian countries, giving students the opportunity to learn first-hand about the many changes and challenges facing China and Asia as a whole. HKBU has established strong partnerships with institutions in Mainland China and runs a number of collaborative projects.,While research at HKBU spans a broad range of areas, under ,, the University’s 10-year development plan, the University encourages interdisciplinary research and theme-based research in four focus areas: health, environment, contemporary China studies, and cross-cultural studies.,Research postgraduate students will be interested in the Hong Kong PhD Fellowship Scheme established by the Hong Kong Research Grants Council to attract the best and brightest students from all over the world to pursue their PhD studies in Hong Kong. The Fellowship provides an annual stipend of HK$240,000 (approximately US$30,000) and a conference and research-related travel allowance of HK$10,000 (approximately US$1,300) per year to each awardee for a period of up to three years.,The University's programmes have won international recognition.  The School of Business gained accreditation from The Association to Advance Collegiate Schools of Business (AACSB) and the Associations of MBAs (AMBA)as well as European Quality Improvement System (EQUIS) accreditation from the European Foundation for Management Development.  The School of Communication was named one of the best journalism and media schools for Asian students by the website Asian Correspondent.,English is the medium of instruction for formal classroom teaching, except for those courses that are granted exemption,Year 1 undergraduate international students will be provided accommodation in the Undergraduate Halls for nine months. Depending on occupancy, postgraduate students will either be housed in on-campus or off-campus accommodation.,Tuition fees are relatively inexpensive by international standards. The cost of studying at the University as an ,is approximately HK$170,000 per year for government-funded programmes, including tuition fees, accommodation and basic expenses.,Full scholarships are available for academically outstanding international undergraduate students. ,Undergraduate paper application: 3 January 2014 - 13 February 2014 only,Commencement of study: Early September 2014"
Istanbul Technical University ,276-300,,25.1,18.9,99.1,18.2,48.9,"The university was opened 238 years ago by the Ottoman Sultan Mustafa III. It has five campuses in the heart of Istanbul. The institution's 13 colleges, six research institutes and 39 undergraduate degree programmes cater for more than 25,000 full-time students."
University of Kansas ,276-300,,33.2,23.5,27.6,20.1,43.0,"Hilltop KU, occupying 1,100 acres from a former state governor's land grant in 1890, pioneered the teaching of sociology early last century. It is renowned for its School of Journalism and Mass Communication and its School of Business, founded in 1924. The university employs around 2,500 faculty members to assist 30,000 students."
Lomonosov Moscow State University ,276-300,,47.9,53.3,80.0,27.5,11.0,"Work on developing 462 acres on the Lenin Hills as a new home for MSU, founded as the Imperial Moscow University in 1755, began in the 1940s, when it was also renamed after the 18th-century polymath Mikhail Lomonosov. It has more than 1,000 buildings accommodating 40,000 students, 6,000 academic staff and 5,000 researchers."
Université Montpellier 2 ,276-300,,24.3,52.9,24.9,8.7,62.3,"The earliest account of Montpellier 2 dates from 1808 when the Montpellier Faculty of Sciences, its predecessor body, was established. The university has more than 15,000 students and around 1,450 members of staff. It is a multidisciplinary university with eight faculties and a particular focus on sciences and technological research. In 2010 it commanded a budget of 201.1 million."
University of Kentucky ,276-300,,38.7,18.3,,28.4,35.2,"The University of Kentucky is a major public research institution where students from more than 117 countries pursue their degrees in 16 academic and professional colleges, all on one campus.  The university's mission is to ""improve people's lives through excellence in education, research and creative work, service and health care""."
The University of Newcastle ,276-300,,18.2,76.3,64.8,27.1,35.8," ,We're proud of the fact that we're in the top 3% of the universities in the world, according to the , World University Rankings.This means out of more than 9,000 universities in the world we are in the top 300.,These rankings highlight our strengths and research outcomes, the quality of our staff, the employability of our graduates and our international networks. They reflect the key pillars of what makes a world-class university in today's global landscape., from, educated and supported by,We attract high-achieving students who want to make a difference in the world.Our students have access to high quality programs, state-of-the-art facilities and award-winning teachers.,The high quality of our teaching staff is recognised by our graduates who rate us in the upper quarter of Australian universities. Our graduates also give them an Overall Satisfaction rating of 82 per cent*.,Many of our teachers are leaders in their fields with national recognition, thinking outside of the box and inspiring our students to learn in new and innovative ways.,Australian Graduate Survey 2012,The University of Newcastle is known for outstanding success in research.,Our researchers lead the world in fields as diverse as geotechnical science and engineering, energy and resources, reproductive biology, plant biology, applied mathematics, and health and medical sciences.,We are home to two leading research institutes – the Newcastle Institute for Energy and Resources (NIER) and the Hunter Medical Research Institute (HMRI). Both institutes demonstrate our understanding of community needs and our successful and valued partnerships with industry, business and the community.,Having a degree from the University of Newcastle gives our students a qualification with lasting value. We produce successful, well-equipped graduates who are in demand.,Nearly three quarters (73 per cent) of our bachelor degree graduates find a full-time job within four months of completing their qualification. The median starting salary for our bachelor degree graduates is $2,000 higher than the national average. Our highest earning first year bachelor degree graduates are engineers, with salaries as high as $67,000 per annum.,* Australian Graduate Survey 2011,Our campuses at Newcastle, the Central Coast and Port Macquarie are situated in beautiful bushland settings and close to some of Australia's most prized beaches."
Queensland University of Technology ,276-300,,21.0,76.7,62.5,26.7,35.5,"Founded in 1989, this is one of Australia's largest universities. It grew from the Brisbane School of Arts, which was established in 1849. In 2009, it had 40,560 students and a total income of A$754 million. Its student-to-staff ratio is 22:3."
Middle East Technical University ,276-300,,37.0,23.5,43.2,28.9,35.1,"Although its 11,120 acre-campus is just 12 miles from the centre of the Turkish capital, the language of instruction for METU's 23,000 students is English. Its academic staff of some 2,000 scholars teach in five faculties and five graduate schools. A further 1,500 students attend its campus at Guzelyurt (Morphou) in Northern Cyprus."
State University of Campinas ,276-300,,52.3,19.1,43.2,33.1,15.2,"Unicamp opened in 1966 to meet the demand for highly educated leaders to guide Brazil's burgeoning economy. Today, it accounts for 15 per cent of the country's academic research, with its three campuses accommodating more than 31,700 students. It has a professorial staff of more than 1,700 scholars teaching in 22 schools and institutes."
Tokyo Medical and Dental University ,276-300,,42.8,18.0,40.8,22.6,36.7,"Not to be confused with Tokyo Medical University or Tokyo Dental University, TMDU sends selected faculty members to Harvard Medical School for curriculum development. Established in 1928, the institution acquired university status in 1946. Some 3,000 students, including 210 from abroad, are pursuing baccalaureate and postgraduate qualifications."
York University ,276-300,,19.9,57.7,41.7,27.7,41.2,"More than two-thirds of the 51,000 students at Canada's third-largest university treat it as a ""commuter school"", although York increased parking fees in 2009-10 to deter private transport use. Almost 1,400 buses a day shuttle people around campus. Seven thousand staff work in 11 faculties and 24 research centres."
University of Trento,276-300,,21.9,49.7,51.0,20.0,51.5,"Mikhail Gorbachev and the Dalai Lama are among seven honorary professors at this 50-year-old Italian public university attended by 15,000 students. It offers Master and PhD courses in English ranging from the fields of mathematics, physics, life sciences, engineering and ICT, to the economics and social sciences area, international studies, humanities and law."
Aalborg University ,301-350,,19.0,75.3,36.4,20.0,27.1,"In less than four decades, Aalborg has become one of Denmark's leading universities by, as it says, ""daring to be different"". Inaugurated in 1974 to serve the young of Northern Jutland, it now has nearly 17,000 students taught by 1,200 academic staff in three faculties: humanities; social sciences; and engineering, science and medicine."
University of Tromsø,276-300,,24.4,63.5,32.8,14.4,53.0,"Research at the world's northernmost university focuses on Arctic and sub-Arctic themes such as the aurora borealis, Sami culture and telemedicine. Its 6,500 students and 1,700 staff are distributed across six faculties and schools, including humanities and social sciences, natural sciences, law and fisheries. It has bestowed honorary doctorates on Desmond Tutu, Salman Rushdie and Mordechai Vanunu."
Westfälische Wilhelms-Universität Münster,276-300,,27.8,43.3,35.1,18.5,49.1,"Researchers at Germany's third-largest university recently claimed to have discovered that the Earth is up to 90 million years younger than was previously thought. Formally Westfische Wilhelms-Universit, Munster is old (established in 1780), bustling (13,000 staff and 40,000 students) and the source of four Leibniz Prizes since 2003."
"Binghamton University, State University of New York ",301-350,,18.7,30.8,29.5,20.3,46.2,"Upstate Binghamton opened in 1946 to serve local GIs returning home from the war. Today, on 887 acres of wooded hillside above the Susquehanna River, more than 14,700 ""bearcats"" are taught by an academic staff of more than 550 from six colleges and schools. More than 130 undergraduate degree options are on offer."
Boğaziçi University ,301-350,,24.5,36.2,34.7,19.7,45.7,"Boğaziçi University was established in 1863 as Robert College, the first American college founded outside the borders of the United States. In 1971, it was transformed into Boğaziçi University, an elite Turkish public research university that has kept the liberal arts education tradition and English as the language of instruction. Since then, it has expanded its undergraduate and graduate programs and added new campuses. Currently, Boğaziçi University is one of the most prominent universities in Turkey with outstanding undergraduate and graduate programs in natural and social sciences, humanities, engineering, education, and applied disciplines. It is the most sought after university for students in Turkey and the region, with world-class faculty, top-notch laboratories and facilities, and a breathtaking campus. The total number of students has reached 13,500 with more than 3000 graduate students.,Please , for detailed information., ,Boğaziçi University has six campuses. Many of the University's buildings are located on its South Campus, the original campus of Robert College, overlooking the Bosphorus and the historical fortress of Rumelihisarı. The North Campus, Hisar Campus, and Uçaksavar Campus are all walking distance from the South Campus. The Kandilli Campus, housing the observatory, is situated across the Bosphorus on a wooded hill. The Sarıtepe Campus is located on the Black Sea coast, 34 km from the South Campus, and has a private beach. It is mainly used by the English Preparatory Division of the School of Foreign Languages.,All , offer Bachelor’s, Master’s and Doctoral degrees.,The following six , offer 64 Master’s and 39 Doctoral programs:,Established , of the university enable faculty members and graduate students to carry out research on a wide variety of research topics.,The European University Association (EUA) evaluated Boğaziçi University’s academic and administrative procedures in 1999. ,The Accreditation Board for Engineering and Technology (ABET) evaluated the Faculty of Engineering in 1997, 2004 and 2010, and as a result, all Engineering undergraduate programs at Boğaziçi University have ,.,Boğaziçi University pursues high impact research with its 32 academic departments, six graduate institutes, and 19 research centers, covering a wide range of disciplines.   The university attracts research funding from both national and international research funding organizations as well as from industry.  Partnerships with leading academic institutions across the world have strengthened the university’s prominence in research. The university is currently involved in 50 ongoing European projects. Boğaziçi University researchers also take part in various U.S.-based NIH and NSF projects.,According to the 2013 Turkish Ministry of Science, Industry and Technology rankings, Boğaziçi University was ranked first in Scientific and Technological Research Aptitude, based on number of publications, number of citations, externally funded projects, awards, and Ph.D. degrees granted. ,The university library houses a collection of over 500,000 books. The Rare Books Collection contains more than 10,000 books and printed material dating from the 16th to the 20th century. The Near-Eastern Collection houses historical, cultural, linguistic and literary works that focus particularly on Turkey and neighboring countries as well as the Ottoman Empire. Another unique collection is that of the U.S. Historical Archives consisting of 2500 rare books and other documents that date back to the 18th century. The Library provides access to 25,000 electronic journals and 50,000 e-books and newspapers, as well as various research databases.,Boğaziçi University is a member of several international university networks that share the same goal of enhancing academic cooperation among its members.,Boğaziçi University values diversity among its students and faculty. Approximately 7% of the student body and 15% of faculty are international and these ratios are increasing. ,Boğaziçi University maintains an active portfolio of high caliber academic partners from 34 countries. The university receives approximately 600 incoming exchange students and sends about 500 students for exchange programs every year. Please consult the ,.,Boğaziçi University takes pride in its lively and colorful campus life. To complement and enrich the academic experience with an active campus life, the university supports student clubs and arts and sports activities, and provides a variety of services from health care to counseling for students and staff. Campus life aims to cultivate a liberal, democratic and happy Boğaziçi community.,The University residence halls can accommodate approximately 3500 students, offering co-ed housing options where one can choose between 2, 3, or 4-bedroom suites. ,Student life within the University is rich and varied with activities that cater to almost all talents and interests. The University traditionally places great emphasis on and strongly encourages participation in extra-curricular activities. Currently there are more than 40 different Student Clubs. The University also provides a comprehensive sports program and excellent facilities that are available to students, staff, and alumni. For more information, please visit the ,."
Alexandria University ,301-350,,15.2,31.6,34.5,7.8,61.4,"Alexandria, established in 1938, has developed branches in Lebanon, Sudan and Chad from its base in the Nile Delta. A variety of campuses are home to some 30 faculties and institutes that cover the full spectrum of academic disciplines for its 197,000 students, served by an 18,500-strong teaching and support staff."
Aalto University ,301-350,,26.2,49.0,61.9,22.2,37.5,"Although one of the world's youngest universities, established in 2010, Aalto nonetheless draws on some 300 years of academic excellence. It was created from the merger of the Helsinki School of Economics, the Helsinki University of Technology and the University of Art and Design Helsinki, and has some 17,000 students and 4,300 staff."
The University of Texas at San Antonio ,276-300,,14.1,22.6,25.3,15.4,70.3,"The University of Texas at San Antonio was established in June 1969. At the end of 2010, 30,300 students were enrolled at the institution. It has more than 81,000 alumni, eight colleges and a graduate school. Figures from 2008 estimated that it had an economic impact worth $1.2 billion on annual business revenues and supported an estimated 15,720 jobs in the San Antonio metropolitan area."
Bar-Ilan University ,301-350,,27.9,47.0,28.5,32.2,15.7,"Founded in 1955 explicitly to serve as a bridge between secular academic and Torah studies, Bar-Ilal is now Israel's second-largest academic institution, with around 28,600 students (not counting 8,000 in affiliated regional colleges) and 1,350 staff. Archaeology is a key subject: the university is responsible for excavations such as the Tell es-Safi/Gath dig."
Charles Darwin University ,301-350,,16.4,46.7,31.3,19.4,52.6,"Situated in Australia's Northern Territory, the university was created to prevent a ""brain drain"" to institutions in the south of the country. Today, it has 21,000 students taught across four campuses and four training centres. Its research income in 2009 exceeded A$31.8 million dollars."
University of Canterbury ,301-350,,17.3,76.3,26.6,24.3,30.5,"This South Island institution, dating from 1873, is New Zealand's second-oldest university. Organised into five colleges and a law school, Canterbury offers degrees in subjects including speech and language therapy, social work and forestry to around 17,800 students."
University College Cork ,301-350,,20.6,77.0,36.8,19.2,29.4,"More than 17,000 students pursue advancement under approximately 800 faculty members in the Tudor Gothic surroundings of this institution, known since 1998 as University College Cork. Tradition says St Finbarr's monastic mill stood where the River Lee's south channel passes by the college. In 1898, it admitted its first female graduates."
Aveiro University ,301-350,,17.0,48.4,34.7,15.9,40.9,"Aveiro was founded in 1973 and is one of Portugal's 14 public universities. It has almost 15,000 students working across 58 degree courses, more than 40 MSc courses and 25 PhD programmes."
University of Eastern Finland ,301-350,,23.2,33.5,30.2,16.1,51.1,"In May 2009, two of Eastern Finland's three component campuses, while still universities in their own right - Kuopio, set up in 1972, and Joensuu, founded in 1969 - established the first Finnish higher education outpost in China, the Sino-Finnish Environmental Centre, on the Nanjing University campus. The tripartite body registers 2,900 staff and 12,000 students, with Kuopio focusing on human health and environmental issues."
University of Hertfordshire ,301-350,,12.2,76.5,27.1,7.7,55.5,"Hertfordshire was founded in 1952. The student body consists of 24,500 people including more than 2,000 overseas students. The university employs 2,700 staff, has 160,000 alumni and a turnover of 181 million. In 2003, the 120 million de Havilland campus, providing a state-of-the-art teaching and learning environment, and the 15 million Hertfordshire Sports Village were opened."
George Mason University ,301-350,,29.3,23.8,25.1,17.7,42.6,"Named after the US founding father who drew up the model for the emerging country's Bill of Rights, GMU became an independent university in 1972. Its 677-acre Fairfax campus and three satellites house 10 schools and colleges offering 186 degree programmes to 32,000 students. It employs around 2,900 scholars."
"Indian Institute of Technology, Bombay ",301-350,,43.8,14.3,24.2,15.7,38.8,"IIT Bombay was set up in 1958 and is regarded as a leader in engineering research. It offers courses in a range of subjects including aerospace engineering, chemistry, biosciences, physics and mathematics. Its motto is ""Gnayanam Paramam Dheyam"" (""Knowledge is the supreme goal"")."
