name,rank,overallScore,teachingScore,internationalOutlook,industryIncome,research,citations,textBelow
Laval University,226-250,,36.4,54.4,56.6,27.3,57.5,"Located in Quec's historic capital, a World Heritage site, Laval was North America's first francophone higher education institution. It is one of Canada's leading research universities, ranking seventh in terms of research funding in 2010 (C$308,000). Some 1,400 professors/researchers share their knowledge with around 45,000 students across more than 350 undergraduate and postgraduate programmes."
Université Libre de Bruxelles,226-250,,25.6,78.2,54.9,30.6,59.3,"When Belgium gained independence in 1830, Ghent, Liège and Leuven had state universities - but not the capital. This answer to that omission has produced sporting success (its football team won a Bronze Medal at the 1900 Olympics) and intellectual respect (three Nobel laureates). Eight faculties accommodating some 21,000 students are overseen by around 4,400 staff."
Korea University ,226-250,,44.7,27.3,52.1,43.7,39.4,"Korea University, founded in 1905, is widely acknowledged as one of the country’s oldest, largest and top-ranked universities in Korea. Its reputation for quality is based on excellence in teaching, research and service to Korean society. Eminent faculty, outstanding students and internationally recognized research programs all contribute to Korea University’s academic fame. As a major comprehensive university, KU offers a rich variety of courses in liberal arts and sciences as well as in all professional fields, including law, medicine and business administration.,KU is nationally recognized for its commitment to teaching and academic excellence. The university’s academic breadth is extensive with its 81 departments in 19 colleges and divisions, and 18 graduate schools and it has over 1,600 full-time faculty members with over 95% of them holding Ph.D. or equivalent qualification in their field. KU has particularly strong Humanities and Asian Studies Departments along with the recently established Graduate School of International Studies (GSIS). KU is also renowned for its professional schools of Law, Medicine and Business Administration. In research, KU is an internationally recognized leader with over 100 research centers, including the East Asiatic Research Centre and the Korean Cultural Research Centre. Furthermore, Korea University Business School (KUBS) is the only and the first business school in the country to have acquired both European Quality Improvement System (EQUIS) accreditation, in combination with the accreditation granted by the Association to Advance Collegiate Schools of Business (AACSB). Unlike many universities in Korea, KU prides itself not only in being a progressive and globally conscious institution but one that plays a role in preserving and developing Korea’s unique culture."
Georgia Health Sciences University ,226-250,,49.4,32.6,43.6,17.5,62.0,"With its own 540-bed medical centre and a specialist children's centre, MCG has some 2,500 students taught by a full-time academic staff of around 670 in five schools: medicine; allied health sciences; dentistry; graduate studies; and nursing. Founded in 1828 as the Georgia Medical Academy, it changed its name to its current title five years later."
Simon Fraser University ,226-250,,24.0,55.6,41.6,35.3,61.0,"Named after the famous fur trader and explorer, Simon Fraser University is Canada's top-ranked comprehensive university. With campuses in Vancouver, Burnaby, and Surrey, B.C., SFU engages actively with the community in its research and teaching, delivers almost 150 programs to more than 30,000 students, and has more than 120,000 alumni in 130 countries."
University of South Florida ,226-250,,32.6,19.7,98.9,42.0,48.4,"Medical research generated by Florida's third-largest university is focused on understanding and countering Alzheimer's, Parkinson's and Huntington's diseases. It celebrated its 50th anniversary in 2006, with South African archbishop Desmond Tutu attending as guest lecturer. It has around 47,000 students enrolled on 232 degree programmes."
Mines ParisTech,226-250,,39.5,62.4,99.4,25.6,51.7,"Mines ParisTech concentrates on three socio-economic sectors: future energy sources and the environment; the harnessing and exploitation of resources and new materials; and innovation methodologies and processes. It is a founding member of ParisTech, which has brought together 12 of the French capital's leading engineering and management schools. Created in 1783, the institution has 600 master's students, 400 PhD students and 400 advanced master's students."
University of Missouri ,226-250,,40.4,30.8,31.1,45.8,45.2,"The University of Missouri was founded in 1839. It was the first public university west of the Mississippi River and the first state university in Thomas Jefferson's Louisiana Purchase territory. Missouri provides $110 million in student financial aid from its own budget, including endowed scholarships and grants, graduate tuition and fee waivers and merit- and need-based scholarships."
Moscow State Engineering Physics Institute,226-250,,20.9,18.8,59.6,10.6,100.0,"The institute was founded in 1942 by Igor Kurchatov (the ""father"" of the Soviet atomic bomb) and today unites 10 higher and 13 specialised secondary educational establishments, training specialists for nuclear and other high-tech spheres. It remains one of the Russian Federation's leading centres for fundamental physics research."
University of Otago ,226-250,,28.8,85.4,37.2,30.9,54.8,"They call Otago students ""Scarfies"", owing to the advisability of all-embracing neckwear in chilly southern winters. New Zealand's oldest university (1869) was the first in Australasia to admit women for law degrees. Attended by 20,000 students tended by some 3,700 staff, Dunedin claims the most extensive residential quarters of any academic institution in the region."
Tulane University ,226-250,,42.8,31.2,,22.6,66.8,"In 2004, the founders of Netscape and Yahoo! donated $60 million to Tulane's endowment, its largest gift yet. Its predecessor was the South's second medical college, founded in 1834 to counter the threat of exotic diseases. The Civil War and Hurricane Katrina closed it down temporarily, but today it thrives with more than 1,100 faculty and around 11,100 students."
University of Waterloo ,226-250,,34.7,58.3,39.4,42.1,41.8,"In just half a century, the University of Waterloo, located at the heart of Canada’s technology hub, has become a leading comprehensive university with 34,000 full- and part-time students in undergraduate and graduate programs.,Consistently ranked Canada’s most innovative university, Waterloo is home to advanced research and teaching in science and engineering, health, environment, arts and social sciences. From quantum computing and nanotechnology to clinical psychology and health sciences research, Waterloo brings ideas and brilliant minds together, inspiring innovations with real impact today and in the future.,As home to the world's largest post-secondary co-operative education program, Waterloo embraces its connections to the world and encourages enterprising partnerships in learning, research, and commercialization. With campuses and education centres on four continents, and academic partnerships spanning the globe, Waterloo is shaping the future of the planet., "
University of Witwatersrand ,226-250,,28.6,65.1,98.4,38.3,49.8,"The University of Witwatersrand has a reputation built on research and academic excellence. It is one of only two universities in Africa rated by two separate international rankings as a leading world institution. It has grown from around 1,000 students to more than 28,000 by 2010. It boasts five faculties, comprising 34 schools. Witwatersrand is the recipient of the highest levels of external financial support of all South African universities."
Western University,226-250,,39.4,51.3,44.6,37.2,44.8,"Since 1878, Western University has combined academic excellence with life-long opportunities for intellectual, social and cultural growth. An academically competitive, research-intensive university, Western challenges the best and brightest faculty, staff and students to commit to the highest global standards. Western is home to 12 faculties and schools including the Richard Ivey School of Business and the Schulich School of Medicine & Dentistry."
Universität Würzburg ,226-250,,33.0,44.8,30.4,19.4,70.9,"Johannes Trithemius blamed the early demise of Würzburg's first incarnation (established in 1402) on students' dissolute lifestyle - their bathing, loving, brawling, gambling, inebriation ""and general pandemonium"". Some 180 years later, a more durable attempt was made. Today, some 21,000 students (3,100 postgraduates) learn in the place where Röntgen's X-ray research won him the first Nobel Prize in Physics in 1901."
Aalto University ,251-275,,34.4,52.0,73.7,26.8,50.1,"Although one of the world's youngest universities, established in 2010, Aalto nonetheless draws on some 300 years of academic excellence. It was created from the merger of the Helsinki School of Economics, the Helsinki University of Technology and the University of Art and Design Helsinki, and has some 17,000 students and 4,300 staff."
National Tsing Hua University ,226-250,,45.5,20.1,44.0,44.1,44.4,"NTHU was set up in 1956 as a re-establishment of an earlier namesake founded in the Tsung Hua Garden of Beijing in 1911. NTHU's 260-acre parkland campus 45 miles south of Taipei accommodates some 11,700 students taught from seven colleges."
University of Essex ,251-275,,33.7,86.4,31.0,34.6,39.6,"The motto of this university, which opened in 1964, is ""Thought the harder, heart the keener"", adapted from an East Saxon poem, The Battle of Maldon. In 1963, a 1 million appeal fund for the institution was oversubscribed in months - the Queen Mother and Sir Winston Churchill were among the contributors. Essex has around 11,700 students, more than 1,400 staff and four faculties."
National Chiao Tung University ,251-275,,39.6,27.2,99.0,49.6,31.5,"Following initiatives from alumni of the former Chiao Tung University, the roots of which lay in late 19th-century suburban Shanghai, the university was reconstituted in the north-western Taiwanese city of Hsinchu in 1958. On two campuses of extensive rolling parkland, more than 12,000 students are taught by a faculty of nearly 600 scholars."
University of Connecticut,251-275,,42.5,40.5,32.6,29.7,50.0,"The University of Connecticut is undergoing one of the most extensive building programmes of any US public university via a multimillion-dollar investment. It is a member of Universitas 21, an international network of research-intensive institutions."
Dalhousie University ,251-275,,30.2,59.1,65.0,29.8,54.3,"Sited on 79 acres of the Halifax Peninsula, the institution was founded in 1818 by George Ramsey, the ninth Earl of Dalhousie. Its 11 faculties offer 180 undergraduate and postgraduate programmes to 16,000 students."
University of Iceland ,251-275,,11.4,59.9,74.4,28.0,71.0,"The University of Iceland is a scientific institution well regarded for its research. It is a state university, situated in the heart of Reykjav. It offers more than 350 study programmes and has more than 350,000 alumni and 550 partnerships with other universities. It was founded in 1911."
Hong Kong Polytechnic University ,251-275,,34.6,65.4,42.2,41.2,39.8,"The Hong Kong Polytechnic University (PolyU) is committed to education and preparing students to becoming global citizens through quality learning and teaching.  We are internationally known for our excellence in innovative research and unique programmes.,Established in 1937, we have groomed over 330,000 graduates, many of whom have become leaders in their professional fields, contributing their knowledge and expertise to building Hong Kong's thriving economy., ,PolyU offers a wide range of programmes, from higher diplomas to doctoral degrees.  All our programmes are fully accredited with their key strengths being their practical application and professional relevance to the industries. Many of which are among the best in Asia, and indeed the world. ,Hong Kong is one of the most dynamic cities in the world.  Nevertheless, the city has something for everyone, from the most economical options to extreme extravagance. As a student, you can also enjoy a vast range of discounted offers, from transportation to different kinds of entertainment.,Tuition fee for a full-time Bachelor's Degree programme per academic year is approximately GBP8,900(HKD110,000). Scholarships up to approximately GBP12,200 (HKD150,000) are awarded to students with outstanding academic merits as well as those with other non-academic achievements.  ,All international students will be offered 3-years guaranteed accommodation at our Student Halls of Residence, which is just under 10-minute walking distance from the campus, at a monthly rental of approximately GBP100 (HKD1,240) for a shared room.,Hong Kong is such a compact place so getting around is extremely easy. Our well-developed public transportation network and bilingual signage ensure your quick, convenient and easy access to almost anywhere in the city. More importantly, PolyU is located right in the heart of Hong Kong so you could even get around in flip-flops and get anything you need in the neighborhood. ,Hong Kong presents an ever-changing kaleidoscope of culture and traditions.  As a gourmet paradise and shopper's heaven, the city offers a glittering array of local and international choices.  And if you yearn to escape to greener landscapes, numerous country parts and hiking trails offer ""active relaxation"" and spectacular views over Hong Kong's picturesque scenery!,Apart from academic studies, there are lots of activities for students to develop their different competencies and skills during term time. Just to mention a few, there are physical education courses that keep you healthy, language and leisure courses, professional development seminars and so on. All of which are non-credit bearing and free from assessment.  And most importantly, all these courses are either free of charge or just at a minimal amount of GBP4 (HKD50) per semester!,All international students will be offered 3-years guaranteed accommodation at our Student Halls of Residence, which is just under 10-minute walking distance from the campus, at a monthly rental of approximately GBP100 (HKD1,240) for a shared room.,You can truly immerse yourself into the lifestyle of a PolyU student by staying at the Student Halls of Residence. All rooms are fully furnished with a shared bathroom between two adjacent rooms. Each room is air-conditioned and equipped with broadband internet access.,Depending on your preference and budget, some of you might like to go for other forms of university-managed accommodation including private premises near the campus or arrange our own accommodation off-campus. Out Student Affairs Office can provide information to help you get started.  ,To apply for full-time studies, you will have to submit your application online a year in advance via our ,., ,In general, you will need to achieve an academic standard equivalent to GSC A-level or have satisfactorily completed the International Baccalaureate Diploma or your first year of university education.  ,You will also need to achieve a TOEFL score of 550, 213 or 80 for  internet-based test, or an overall band score of 6 in IELTS in terms of English language requirement. ,You should choose your desired programme from our ,  where you will also be able to find the entrance requirement of  theprogramme you are interested in. Your application could then be made directly online via our ,., ,Application for September 2014 entry shall commence around mid-September 2013.  For general enquiries, please email ,., , "
"Indian Institute of Technology, Bombay ",251-275,,47.3,19.9,52.7,33.1,45.6,"IIT Bombay was set up in 1958 and is regarded as a leader in engineering research. It offers courses in a range of subjects including aerospace engineering, chemistry, biosciences, physics and mathematics. Its motto is ""Gnayanam Paramam Dheyam"" (""Knowledge is the supreme goal"")."
Christian-Albrechts-Universität zu Kiel ,251-275,,32.1,44.6,35.6,27.0,62.5,"Its founding mission, to replace civil-servant casualties from the Thirty Years' War, explains the motto adopted by Kiel when it was founded in 1665: ""Pax optima rerum"" (""Peace is the greatest good"")."
Macquarie University ,251-275,,22.0,86.8,37.2,29.6,54.8,"Named after the 19th-century colonial governor and reformer Lachlan Macquarie, Sydney's third university opened in 1964 on 310 acres of rolling bush 10 miles from the city centre. Today it has some 33,000 students and an academic staff of around 1,100 scholars in four faculties: arts; business and economics; human sciences; and science."
University of Milan ,251-275,,36.3,35.7,38.2,24.2,61.0,"The ""Statale"" was born from the 1923 merger of two older landmarks of learning in Italy's leading industrialised city - the Accademia's Faculty of Arts and Philosophy and the Istituti di Perfezionamento. It is one of Italy's largest universities, with 63,000 students, a teaching and research staff of around 2,450 and 2,200 non-teaching staff distributed across nine faculties."
University of Milan-Bicocca ,251-275,,26.1,36.2,39.0,21.1,76.0,"Founded in 1998, the institution was created to serve the students of northern Italy and to relieve pressure on the University of Milan. It has eight schools and 21 departments. The faculties organise teaching while the departments promote research and oversee doctoral programmes."
Nanjing University ,251-275,,41.3,48.4,47.7,25.3,52.1,"As one of China's four ancient capitals, Nanjing's academic roots stretch back nearly 2,000 years, although today's university has its roots in a higher school set up on the site of an old imperial university in 1915. It gained its current name in 1952. Today it has more than 22,000 students taught by a staff of 3,000."
Norwegian University of Science and Technology ,251-275,,34.2,57.5,45.2,27.7,50.8,"While specialising in science and engineering, NTNU also offers courses in social sciences and the humanities. Based in Trondheim, the Viking capital of Norway, it has seven campuses housing 53 departments in seven faculties, and 4,000 staff looking after some 20,000 students."
Westfälische Wilhelms-Universität Münster,251-275,,35.9,43.2,38.2,20.4,63.6,"Researchers at Germany's third-largest university recently claimed to have discovered that the Earth is up to 90 million years younger than was previously thought. Formally Westfische Wilhelms-Universit, Munster is old (established in 1780), bustling (13,000 staff and 40,000 students) and the source of four Leibniz Prizes since 2003."
University of Oregon,251-275,,31.5,30.2,,21.7,70.4,"Oregon was founded in 1876 and now caters for more than 24,000 undergraduate and postgraduate students. It offers over 260 academic programmes and is a member of the prestigious Association of American Universities. Olympic decathlon champion Ashton Eaton is a notable alumnus."
Queensland University of Technology ,251-275,,27.6,69.2,58.9,37.0,47.0,"Founded in 1989, this is one of Australia's largest universities. It grew from the Brisbane School of Arts, which was established in 1849. In 2009, it had 40,560 students and a total income of A$754 million. Its student-to-staff ratio is 22:3."
State University of Campinas ,251-275,,51.7,20.9,44.9,46.8,26.5,"Unicamp opened in 1966 to meet the demand for highly educated leaders to guide Brazil's burgeoning economy. Today, it accounts for 15 per cent of the country's academic research, with its three campuses accommodating more than 31,700 students. It has a professorial staff of more than 1,700 scholars teaching in 22 schools and institutes."
Victoria University of Wellington ,251-275,,22.3,84.8,43.0,29.1,55.6,"Entry is open to all at this 114-year-old university, but special selection criteria apply to the BA courses in criminology and creative writing, and candidates for the performance music programme must survive an audition. Victoria's 1,880-plus full-time-equivalent staff teach some 22,270 students, 4,200 of them postgraduates."
Stellenbosch University ,251-275,,31.5,47.8,96.6,35.0,48.9,"Recognised as one of the top four research institutions in South Africa, Stellenbosch was established in 1918, although its roots can be traced back to the 17th century. It has the country's highest proportion of postgraduates among its 24,000-strong student body, of whom 10 per cent are international. Stellenbosch's multicultural student body is one of its biggest strengths and its student organisations cater for a wide range of interests including culture, politics and religion. It has 800 lecturers and 50 research and service bodies. England batsman Jonathan Trott is a notable alumnus."
Tokyo Metropolitan University ,251-275,,19.0,19.6,31.1,9.8,97.1,"TMU is a public university in Tokyo, the host city for the Olympic and Paralympic Games in 2020.,All of the campuses of TMU are located in Tokyo Prefecture, and it takes about 30 minutes by train from central Tokyo to the Minami-Osawa Campus (the main campus), which offers an excellent learning environment with lush greenery.,Currently, a total of 9,300 students (about 7,000 undergraduate students and about 2,300 graduate students) are enrolled at TMU, and about 680 faculty members are employed. Many excellent researchers are employed at TMU, achieving significant growth in the fields of research. In the Times Higher Education World University Rankings 2013-2014, TMU received the highest score of 100.0 for “citations.”,TMU has four faculties with 28 divisions and six graduate schools with 30 departments, offering a wide range of education and research fields.,TMU provides opportunities for learning and research in a broad range of areas and highly specialized sciences, and collaborates with industry to produce results relevant to mega cities, nurture humanity and creativity and improve society.,In order to fulfill our mission, we focus on the following priority issues common to mega cities:,TMU enjoys high global reputation in terms of research achievements. In the Times Higher Education World University Rankings 2013-2014, TMU received the highest score of 100.0 for “citations.” ,In 2012, Professor Masatake Haruta was selected as a Thomson Reuters Citation Laureate as a possible winner of the Nobel Prize for his “independent foundational discoveries of catalysis by gold.”,Social Studies,Psychology and Pedagogy,Humanities and Intercultural Studies,Law,Politics,Business Administration,Economics,Mathematical Sciences,Physics,Chemistry,Biological Sciences,Electrical and Electronic Engineering,Mechanical Engineering,Urban Policy,Geography,Civil and Environmental Engineering,Architecture and Urban Studies,Applied Chemistry,Nature- and Culture-based Tourism,Human Mechatronics Systems,Information and Communication Systems,Aerospace Engineering,Management Systems Engineering,Industrial Art,Nursing Sciences,Physical Therapy,Occupational Therapy,Radiological Sciences,Behavioral Social Science,Human Sciences,Philosophy, History and Cultural Studies,Intercultural Studies,Law and Politics,Law School,Business Administration,Mathematics and Information Sciences,Physics,Chemistry,Biological Sciences,Electrical and Electronic Engineering,Mechanical Engineering,Geography,Civil and Environmental Engineering,Architecture and Building Engineering,Urban Science,Applied Chemistry,Tourism Science,Human Mechatronics Systems,Information and Communication Systems,Aerospace Engineering,Management Systems Engineering,Industrial Art,Nursing Sciences,Physical Therapy,Occupational Therapy,Radiological Sciences,Frontier Health Sciences,Health Promotion Sciences,TMU offers “Semester Abroad at Tokyo Metropolitan University, “SATOMU” program designed for International students from the partner institutions.,The SATOMU program is a short-term program for exchange students from universities shat have academic exchange agreement with Tokyo Metropolitan University. The program`s distinctive courses, offered primarily in English, give opportunities to understand more about Japan and Tokyo. Those who fulfill the requirements obtain a certificate upon completion of the program."
University of Trieste ,251-275,,19.6,48.5,33.6,14.3,82.2,"This university, established in 1924, benefits from its proximity to Trieste's cluster of scientific centres, not least two astronomical observatories, the Elettra Synchrotron Light Laboratory and the National Institute of Nuclear Physics. Some 1,000 professors teach 23,000 students."
Umeå University ,251-275,,23.5,52.4,29.7,34.5,59.6,
Vienna University of Technology ,251-275,,44.8,71.4,65.5,32.4,34.2,"The first university of technology in German-speaking Europe was initially known as the Imperial-Royal Polytechnic Institute. Today's intake of around 17,600 students, 18 per cent of them from overseas, and 4,000 employees (1,800 of them academics) make Vienna UT Austria's largest scientific-technical research and teaching institution. Research topics include atomic and particle physics, and plasma technology."
Autonomous University of Barcelona,201-225,,39.0,47.1,37.3,35.7,62.8,"Set up in 1968, UAB boasts more than 28,300 undergraduates, nearly 2,700 exchange students, some 2,250 foreign students and more than 1 million books in its libraries. A member of the European Consortium of Innovative Universities and the European University Association, it runs an annual science summer camp."
University of Barcelona ,201-225,,32.5,46.0,30.9,33.4,71.4,"More than half of Catalonia's student population attends four-campus UB, founded by royal prerogative granted in 1450 by Alphonse V of Aragon (the Magnanimous), half a century after a plea to the Pope from King Martin (the Humane). Annually, 2,000 bachelor's degrees and 450 PhDs are awarded at this home for around 90,600 students served by about 4,150 faculty members."
Brandeis University ,201-225,,27.3,45.3,37.4,27.9,83.1,"Brandeis University is a private, co-educational, non-sectarian institution of higher learning and research. Founded in 1948 by the American Jewish community, it has a liberal-arts focus. Sidney Blumenthal, former aide to Bill Clinton, is a Brandeis alumnus. In 1985, Brandeis was elected a member of the Association of American Universities, which represents the 62 leading research institutions in the US and Canada."
Cardiff University ,201-225,,32.5,68.1,39.8,38.2,60.2,"Founded by Royal Charter in 1883, Cardiff appointed Britain's first female professor, Millicent McKenzie, in 1904. Some 27,500 students and around 2,100 academic staff are grouped into 29 schools, including the Centre for Lifelong Learning, which offers a wide range of courses to the public."
University of Dundee  ,201-225,,24.8,66.6,49.9,23.2,81.1,"Dundee is the only university listed by the UK's Universities and Colleges Admissions Services where students may read for a Bachelor of Laws in either English or Scottish law. Founded in 1881, it was originally a college of St Andrews University but has been independent since 1967. It has 3,000 staff and more than 18,600 students."
Friedrich-Alexander-Universität Erlangen-Nürnberg,201-225,,35.0,49.0,45.2,18.7,74.6,"With its five faculties, the university accommodates more than 33,000 students and is one of Germany's largest. It can trace its origins to the early 1700s and is renowned for its interdisciplinary approach. Hans Geiger, co-inventor of the Geiger counter, is a notable alumnus."
University of Georgia ,201-225,,45.4,36.2,31.3,40.1,46.8,"Opening when the Republic was in its infancy, Georgia is one of several contenders for the title of the US' oldest public university. Racial integration was achieved in 1961 with the admission of Hamilton E. Holmes and Charlayne Hunter. Under its horizon-broadening initiative, 2,000 of its 35,000-strong student body are learning abroad on every continent, including Antarctica."
Fudan University ,201-225,,45.3,38.6,46.3,39.5,51.3,"Initially named Fudan Public School, the university was established in 1905. After the founding of the People's Republic of China in 1949, Fudan became one of the nation's elite universities. It now has around 26,300 full-time degree candidates and close to 2,700 full-time teachers and researchers."
