name,rank,overallScore,teachingScore,internationalOutlook,industryIncome,research,citations,textBelow
École Polytechnique ,39,69.5,57.9,77.9,,56.1,91.4,"Nicknamed ""X"", France's leading engineering school is sited in the suburbs some 10 miles south of the centre of Paris. Founded by Napoleon, there are still vestiges of its military past, although for most of its 2,000 undergraduates, 700 postgraduates and 660 lecturers, it offers a path to the higher plains of French civil society."
University of Edinburgh ,40,69.2,59.9,67.3,42.2,61.9,86.8,"When Scotland gained this, its fourth university, in 1582, England had only two. Today, it has more than 24,000 students - three times as many as its staff complement - and an annual turnover exceeding 400 million. Edinburgh has seven campuses, the newest being the Chancellor's Building site, home to a 40 million medical school connected to Edinburgh Royal Infirmary by a warren of corridors."
École Normale Supérieure ,42,68.6,66.8,44.9,30.7,48.2,95.7,"Founded in 1794 during the French Revolution to train teachers in the secular spirit of the Republic, today as a leading grande ecole it sees its role as training future leaders in public service and private endeavour. Some 2,300 students and 650 doctoral researchers are served by a faculty of about 800 on three Paris campuses."
Karolinska Institute ,43,67.0,65.8,,73.3,72.7,62.3,"Celebrating its 200th anniversary in 2010, Karolinska is a top global medical university and a member of the 22-strong League of European Research Universities. On two campuses it covers the gamut of research and clinical medicine and pharmacology, with a faculty of more than 2,300 serving around 8,000 undergraduate and postgraduate students."
Hong Kong University of Science and Technology ,41,69.0,50.4,97.4,64.1,51.8,98.2,"Established in 1991, the Hong Kong University of Science and Technology (HKUST) is an international research university dedicated to top-notch education and research.  Founded on its mission to advance learning and knowledge through teaching and research particularly in science, technology, engineering, management and business studies complemented by humanities and social sciences, as well as assisting in Hong Kong’s socioeconomic development, this young and ambitious University has gone beyond the wildest dreams of many, climbing high in international esteem and reaping numerous honors and accolades. In 2013, HKUST is ranked 57th among 400 universities and no.3 in world’s top 100 Universities Under 50 by ,.,With respect to individual Schools, HKUST also puts in a strong performance. The School of Engineering is named No. 21 amongst world’s top 100 engineering and technology universities by , World University Rankings published in 2013. It is ranked No. 1 in Greater China. Its much sought-after Kellogg-HKUST Executive MBA (EMBA) program, amid high expectations, also topped the , EMBA global rankings for the fourth straight year.,Hailed widely as a ‘miracle’, the stunning achievements of HKUST do not come about miraculously.  They boil down to the University’s positioning as a focused elite research university; its strong ties to global institutions and wide-ranging connections with Mainland China; the championing of interdisciplinary studies; its dedication to educating well-rounded students who flourish in today’s world, strong in entrepreneurial spirits and innovative in thinking; its mission to be a global premier knowledge hub, crystallized in the Institute of Advanced Study; and, last but not least, a spectacular setting by the sea that makes the University an attractive location for the pursuit of intellectual and academic excellence.,Keen on curating a diversified and international learning environment, HKUST is now home to over 12,000 students spanning more than 30 countries over five continents.  Whereas world’s amazing talents are flocking to the campus for an eclectic educational experience, students enrolled are earnest in expanding their horizons by joining the University’s varied exchange programs, which now include over 250 partners worldwide.  An international mix of students aside, HKUST also lives up to its promise as a stronghold of cutting-edge research and magnet for distinguished academics and influential thinkers.  HKUST has consistently achieved the highest success rate in the Research Grant’s Council’s annual competitive General Research Fund exercise, which reaches 44% in 2012.  The University sees a total of 30 faculty named Fellows of the Institute of Electrical and Electronics Engineers (IEEE), which is among the highest in Hong Kong.  In 2011, its faculty reaped five State Science and Technology Awards, which are among the most prestigious awards in science and technology conferred by the State Council of the People's Republic of China, the largest share among local tertiary institutions.  In addition to the five Chinese Academy of Sciences academicians at HKUST, nine faculty members also entered the National Science and Technology Programs Expert Database.,Going forward, HKUST will continue to tap into the best of all realms, seek excellence in chosen disciplines, nurture future innovators, forge new frontiers, lead the way and make a difference in its truest sense, as it has done in the past 20 years."
Australian National University ,43,67.0,51.9,93.9,,62.4,81.0,"Old Canberra House dates from 1913 and is the oldest building on ANU's 145-acre greenfield campus, established by an Act of the Federal Parliament in 1946 to house the university in the heart of Australia's ""bush capital"". More than 10,000 trees on campus shade around 16,700 students taught by approximately 1,600 scholars grouped into seven academic colleges."
Georg-August-Universität Göttingen ,43,67.0,57.3,44.5,31.7,55.9,92.5,"Gottingen and world leaders seem to go together. Otto von Bismarck studied law here and Napoleon declared: ""Gottingen belongs to the whole of Europe."" Founded by England's King George II in his capacity as Elector of Hanover, it first accepted students in 1737. Since the Brothers Grimm taught here, 45 Nobel laureates have walked its grounds. Currently there are around 24,000 students at the university, which is informally known as ""Georgia Augusta""."
University of Wisconsin,43,67.0,55.5,43.7,,64.6,83.4,"Ranging over 900 acres by the shores of Lake Mendota, UW Madison in 1848 was one of the first US land-grant universities. Its approximately 2,000-strong faculty maintains a strong link with agriculture and the life sciences for around 42,000 students."
Rice University ,47,66.9,57.4,31.2,29.2,50.6,99.1,"In 1900, millionaire William Marsh Rice was murdered by two men attempting to steal his fortune. They were convicted and his estate used to set up an Institute for the Advancement of the Letters, Science and Art. It opened in 1912 and gained university status in 1960. Its 285-acre wooded campus houses around 5,500 students and more than 600 academics."
École Polytechnique Fédérale de Lausanne,48,66.5,55.0,100.0,38.0,56.1,83.8,"Education, research and technology transfer are core to EPFL, which boasts more than 250 on-campus laboratories situated in 136 acres on the shores of Lake Geneva. Today, the ""parc scientifique"" is home to some 7,000 students and 3,000 professors, assistants and entrepreneurs grouped into seven schools and associated research institutes."
"University of California, Irvine ",49,66.0,49.4,66.3,,54.7,91.6,"When the Irvine Company donated 1,000 acres for a single dollar and sold another 510 acres to this university-to-be, set up in 1965, today's surrounding city of Irvine was an undeveloped expanse. Some of it, in fact, was Irvine Ranch; today, UCI is the city's largest employer, with 98 advanced-degree programmes, more than 2,600 faculty members and around 27,600 students."
University of Science and Technology of China ,49,66.0,57.5,,30.3,48.6,92.7,
Vanderbilt University ,51,65.9,64.9,22.1,84.2,59.5,78.1,"Shipping and rail magnate ""Commodore"" Cornelius Vanderbilt provided an initial $1 million endowment in 1873 for this university, even though he had never been to the South. Under Methodist control for its first 40 years, it became independent after a 1914 court ruling allowed non-Methodists to teach there. Today, more than 3,350 faculty teach around 12,500 students."
University of Minnesota ,52,65.6,57.6,23.0,,69.1,76.4,"America's longest river bisects the main campus of this 2,700-acre spread occupying four tracts in the Twin Cities of Minneapolis and St Paul. ""The U"", home to more than 50,000 students and around 3,400 faculty members, draws on an endowment that was worth $2.2 billion in 2006, but enrolled no students in its first 16 years owing to politics and the Civil War."
Tufts University ,53,65.2,64.1,28.3,,52.3,83.9,"Circus impresario P.T. Barnum was one of the earliest benefactors of this private research institution, set up in 1852. It is home to the US' oldest graduate school of international relations, the Fletcher School of Law and Diplomacy. Ten schools occupy three Massachusetts campuses and one at an 11th-century Benedictine monastery in France. It has around 8,000 students."
Brown University ,55,64.9,59.7,60.5,,57.0,77.7,"This Ivy League member, whose mascot is the brown bear, allocates grades without pluses or minuses. Twelve years older than the US, it has several buildings on its campus dating from the colonial era. Today it has about 8,300 students and a faculty of around 700 scholars in three colleges offering nearly 100 programmes of study."
